Name,Latitude,Longitude,geometry
COMMODORE BARRY PARK BASEBALL 1,40.69730417187154,-73.98002957086352,POINT (-73.98002957086352 40.69730417187154)
COMMODORE BARRY PARK,40.69729514992893,-73.97893701720756,POINT (-73.97893701720756 40.69729514992893)
RIVERSIDE PARK ELLINGTON IN THE PARK,40.80253678767572,-73.97183321446161,POINT (-73.97183321446161 40.80253678767572)
HOLCOMBE RUCKER PARK,40.82917548395122,-73.93599917199126,POINT (-73.93599917199126 40.82917548395122)
BROOKLYN HEIGHTS PROMENADE AT ORANGE ST,40.69974006472779,-73.99625447755704,POINT (-73.99625447755704 40.69974006472779)
HARRIS BROTHERS PARK BASKETBALL COURT,40.5331031177282,-74.20213710835797,POINT (-74.20213710835797 40.533103117728196)
STATEN IS ZOO EDUCATION TRAILER,40.62477036989587,-74.1160426059848,POINT (-74.1160426059848 40.62477036989587)
EMT CHRISTOPHER J PRESCOTT PLAYGROUND,40.52273631123746,-74.18623655122649,POINT (-74.18623655122649 40.52273631123746)
SID AUGARTEN FIELD,40.902851006970494,-73.90449418549782,POINT (-73.90449418549782 40.902851006970494)
MELLETT PLAYGROUND BASKETBALL COURTS,40.59693250372107,-73.95718583859072,POINT (-73.95718583859072 40.59693250372107)
MOORE HOMESTEAD PLAYGROUND COMFORT STATION,40.74233703136548,-73.88235250235282,POINT (-73.88235250235282 40.74233703136548)
ELIZABETH STROUD PLAYGROUND,40.67969903651487,-73.93112020733118,POINT (-73.93112020733118 40.67969903651487)
IDLEWILD CRICKET FIELD,40.65662930628722,-73.75895462217494,POINT (-73.75895462217494 40.65662930628722)
A BETTER COMMUNITY GARDEN,40.67814753501222,-73.92825593344166,POINT (-73.92825593344166 40.67814753501222)
TRYGVE LIE PLAZA,40.74853645479357,-73.97039923182017,POINT (-73.97039923182017 40.74853645479357)
OWEN F DOLEN PARK,40.840549168959136,-73.84286470029818,POINT (-73.84286470029818 40.840549168959136)
LYONS POOL,40.63730399307197,-74.07418997043891,POINT (-74.07418997043891 40.63730399307197)
PATTERSON PLAYGROUND,40.81579069872807,-73.92207151306474,POINT (-73.92207151306474 40.815790698728065)
MILL ROCK PARK ISLAND,40.78064511363228,-73.93838992913668,POINT (-73.93838992913668 40.780645113632275)
COMMODORE BARRY PARK COURT,40.69794880923094,-73.97901838765722,POINT (-73.97901838765722 40.69794880923094)
ST MARYS PARK TENNIS COURTS,40.81253191819031,-73.9136229459508,POINT (-73.9136229459508 40.81253191819031)
AQUEDUCT RACETRACK,40.67250944212477,-73.82980246208595,POINT (-73.82980246208595 40.67250944212477)
ABE LINCOLN MINI POOL,40.81208708948495,-73.93717385874209,POINT (-73.93717385874209 40.81208708948495)
PS 178 PLAYGROUND,40.67522542697668,-73.91483721590403,POINT (-73.91483721590403 40.67522542697668)
ASSER LEVY PLAYGROUND,40.73651124490152,-73.97527898418028,POINT (-73.97527898418028 40.73651124490152)
THOMAS BOYLAND COMMUNITY GARDEN,40.66190509663836,-73.91194210692238,POINT (-73.91194210692238 40.66190509663836)
LEFRAK CENTER AT LAKESIDE,40.657329820273695,-73.96391650809227,POINT (-73.96391650809227 40.657329820273695)
PS 56 PLAYGROUND,40.54172015639698,-74.21409143785826,POINT (-74.21409143785826 40.54172015639698)
FRANK M CHARLES MEMORIAL PARK,40.64896672035629,-73.83331383265232,POINT (-73.83331383265232 40.64896672035629)
JULIUS P PIGNATARO BALLFIELD,40.67055183716554,-73.83889888016505,POINT (-73.83889888016505 40.67055183716554)
WARDS ISLAND PARK,40.783524959955855,-73.93039027253927,POINT (-73.93039027253927 40.783524959955855)
GILROY FIELD,40.72149567995312,-73.95244545359097,POINT (-73.95244545359097 40.721495679953115)
GROVER CLEVELAND PLAYGROUND,40.71080437096479,-73.91115675973724,POINT (-73.91115675973724 40.71080437096479)
BELLEVUE SOUTH PARK BASKETBALL COURT,40.73963800759093,-73.9783816171484,POINT (-73.9783816171484 40.73963800759093)
WELCOME HOME GARDEN,40.68479272221739,-73.92530162042212,POINT (-73.92530162042212 40.68479272221739)
RODMANS NECK EAST,40.85663812789829,-73.79870227974568,POINT (-73.79870227974568 40.85663812789829)
RED SHED COMMUNITY GARDEN,40.71605451097075,-73.94026583345385,POINT (-73.94026583345385 40.71605451097075)
