Name,Latitude,Longitude,geometry
LINDEN SEVENTH DAY ADVENTIST SCHOOL,40.67290480257597,-73.74411061503737,POINT (-73.74411061503737 40.672904802575964)
BUSINESS OF SPORTS SCHOOL,40.76370645504608,-73.99079676961448,POINT (-73.99079676961448 40.76370645504608)
MANHATTAN COLLEGE DRADDY GYM,40.89079807277864,-73.90017284188583,POINT (-73.90017284188583 40.89079807277864)
PS 21 CRISPUS ATTUCKS,40.68049145962075,-73.92622845716288,POINT (-73.92622845716288 40.68049145962075)
JAMAICA EVENING HIGH SCHOOL T,40.714250644358856,-73.79813000806061,POINT (-73.79813000806061 40.714250644358856)
BRONX REGIONAL HIGH SCHOOL,40.82366269252344,-73.8985476714322,POINT (-73.8985476714322 40.823662692523435)
HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,40.743191472896896,-74.00255389382394,POINT (-74.00255389382394 40.743191472896896)
SUCCESS ACADEMY CHARTER SCHOOL COBBLE HILL,40.68517847542902,-73.99348562602233,POINT (-73.99348562602233 40.68517847542902)
LEHMAN COLLEGE BOOKSTORE,40.87244024443996,-73.89349381863715,POINT (-73.89349381863715 40.87244024443996)
PRATT INSTITUTE  CHEMISTRY BUILDING,40.69169636706204,-73.9634438223367,POINT (-73.9634438223367 40.69169636706204)
YESHIVA IMREI CHAIM VISNITZ BOYS SCHOOL,40.62546167486669,-73.9826412902282,POINT (-73.9826412902282 40.62546167486669)
WAGNER COLLEGE HORRMANN LIBRARY,40.61548647670912,-74.09399552419399,POINT (-74.09399552419399 40.615486476709115)
PS 102 BAYVIEW,40.73321161127781,-73.87786340056263,POINT (-73.87786340056263 40.73321161127781)
ABRAHAM LINCOLN HIGH SCHOOL,40.5824618721338,-73.96863252846468,POINT (-73.96863252846468 40.5824618721338)
SUCCESS ACADEMY HARLEM 6,40.81626797620583,-73.95349402906459,POINT (-73.95349402906459 40.81626797620583)
PS 155 WILLIAM PACA,40.79746861486559,-73.93626331889647,POINT (-73.93626331889647 40.797468614865586)
NYC KOREAN SCHOOL LOWER E CMPS,40.72418435393999,-73.98149520828291,POINT (-73.98149520828291 40.72418435393999)
MANHATTAN STAR ACADEMY,40.77636418663791,-73.98356249279075,POINT (-73.98356249279075 40.776364186637906)
PS 95 EASTWOOD,40.71092962844788,-73.78323353566005,POINT (-73.78323353566005 40.71092962844788)
PS 59 THE HARBOR VIEW SCHOOL,40.647550206835234,-74.08344858657163,POINT (-74.08344858657163 40.647550206835234)
IMMACULATE CONCEPTION SCHOOL E GUN HILL RD,40.87632079184094,-73.86375291374974,POINT (-73.86375291374974 40.87632079184094)
GREEN HILL SCHOOL,40.69689932719603,-73.9723509575374,POINT (-73.9723509575374 40.69689932719603)
NEW SCHOOL EUGENE LANG ANNEX,40.73493543969455,-73.9975238070772,POINT (-73.9975238070772 40.73493543969455)
QUEENS COLLEGE ROSENTHAL LIBRARY,40.736280087750366,-73.8199847454098,POINT (-73.8199847454098 40.736280087750366)
BROOKLYN COLLEGE WHITMAN HALL,40.63124486704,-73.94861298041388,POINT (-73.94861298041388 40.63124486704)
NEW YORK UNIVERSITY 19 UNIVERSITY PL,40.731290015025785,-73.99476119783692,POINT (-73.99476119783692 40.731290015025785)
FORDHAM U RODRIGUES HALL,40.863481023710925,-73.88744662274672,POINT (-73.88744662274672 40.863481023710925)
