Name,Latitude,Longitude,geometry
NEW WORLD STAGES,40.76276855075423,-73.98760505831338,POINT (-73.98760505831338 40.76276855075423)
REGAL UNION SQUARE STADIUM 14,40.73408287529333,-73.99062811615492,POINT (-73.99062811615492 40.73408287529333)
ELDRIDGE STREET MUSEUM,40.71474244945652,-73.99347422923512,POINT (-73.99347422923512 40.71474244945652)
CORT THEATRE,40.75913148925073,-73.98303877016926,POINT (-73.98303877016926 40.75913148925073)
KING MANOR MUSEUM,40.70303807791649,-73.80375614478298,POINT (-73.80375614478298 40.70303807791649)
CINEMA VILLAGE THEATRE,40.734021114172606,-73.99338463942682,POINT (-73.99338463942682 40.734021114172606)
STUDIO 54,40.76440130450189,-73.98375310434135,POINT (-73.98375310434135 40.76440130450189)
WOODHAVEN LIBRARY,40.69453115304731,-73.86145741525202,POINT (-73.86145741525202 40.69453115304731)
BEDFORD LIBRARY,40.6818017989516,-73.95614870688539,POINT (-73.95614870688539 40.681801798951604)
MUSEUM OF JEWISH HERITAGE,40.70612233109672,-74.01843992907635,POINT (-74.01843992907635 40.706122331096715)
BERNARD B JACOBS THEATRE,40.75868594711576,-73.98777134038669,POINT (-73.98777134038669 40.75868594711576)
MUSEUM OF THE MOVING IMAGE,40.75625042190911,-73.92395120137999,POINT (-73.92395120137999 40.75625042190911)
MANHATTAN CTR AUDITORIUM,40.75291145029289,-73.99418761418657,POINT (-73.99418761418657 40.75291145029289)
ATRIUM STADIUM CINEMAS,40.55963512448601,-74.16382591674052,POINT (-74.16382591674052 40.55963512448601)
MELVILLE GALLERY,40.70739534801294,-74.0033139851475,POINT (-74.0033139851475 40.70739534801294)
MIDDLE VILLAGE LIBRARY,40.71294642191531,-73.88085639366848,POINT (-73.88085639366848 40.71294642191531)
MUSEUM OF CONTEMPORARY ART,40.7582053007315,-73.9985785106675,POINT (-73.9985785106675 40.7582053007315)
BROOKLYN HEIGHTS LIBRARY TEMPORARY,40.69412975474104,-73.99390583234651,POINT (-73.99390583234651 40.694129754741034)
NICHOLAS ROERICH MUSEUM,40.80287691415787,-73.96904596560137,POINT (-73.96904596560137 40.80287691415787)
RAVENSWOOD LIBRARY,40.7606799510647,-73.93640396886002,POINT (-73.93640396886002 40.7606799510647)
CINEMART THEATRE,40.71001029157684,-73.84671594454863,POINT (-73.84671594454863 40.710010291576836)
SKYSCRAPER MUSEUM,40.7057559127121,-74.01763091788693,POINT (-74.01763091788693 40.7057559127121)
PERFORMING GARAGE,40.7223447725864,-74.00295470555584,POINT (-74.00295470555584 40.722344772586396)
CENTRAL ADULT LEARNING CENTER QUEENS LIBRARY,40.70594635502258,-73.79438609942015,POINT (-73.79438609942015 40.70594635502258)
ARLINGTON LIBRARY,40.68066851260352,-73.88725176325929,POINT (-73.88725176325929 40.68066851260352)
LEFRAK CITY LIBRARY,40.73737063420375,-73.8612617456782,POINT (-73.8612617456782 40.73737063420375)
RUGBY LIBRARY,40.64861929265024,-73.9303565303991,POINT (-73.9303565303991 40.64861929265024)
INTEGRATED COMMUNITY CENTER VICTORY BLVD,40.63084812650083,-74.08869691679062,POINT (-74.08869691679062 40.63084812650083)
LOEWS THEATRE 34 ST,40.75236410343145,-73.99445776653688,POINT (-73.99445776653688 40.75236410343145)
DYKER LIBRARY,40.61636119430228,-74.01189611119167,POINT (-74.01189611119167 40.61636119430228)
"CINEMA 1, 2  & 3 THEATRES",40.76184410906479,-73.96605142096708,POINT (-73.96605142096708 40.76184410906479)
KENSINGTON LIBRARY,40.63130327688883,-73.975469676827,POINT (-73.975469676827 40.63130327688883)
RADIO CITY MUSIC HALL,40.76002144954684,-73.97995089407885,POINT (-73.97995089407885 40.76002144954684)
WOODSIDE LIBRARY,40.74534643190195,-73.90971595222862,POINT (-73.90971595222862 40.74534643190195)
