Latitude,Longitude,geometry
40.756336623021,-73.994138138014,POINT (-73.994138138014 40.756336623021)
40.73127976366,-74.004120516916,POINT (-74.004120516916 40.73127976366)
40.707933830913,-73.784697311056,POINT (-73.784697311056 40.707933830913)
40.708410423198,-74.001590649852,POINT (-74.001590649852 40.708410423198)
40.690036187035,-73.8257078385,POINT (-73.8257078385 40.690036187035)
40.855446493498,-73.887348207172,POINT (-73.887348207172 40.855446493498)
40.663030673319,-73.909052438192,POINT (-73.909052438192 40.663030673319)
40.717866059963,-73.995129970237,POINT (-73.995129970237 40.717866059963)
40.630436247754,-74.106988972394,POINT (-74.106988972394 40.630436247754)
40.745164478692,-73.947313471612,POINT (-73.947313471612 40.745164478692)
40.752853323146,-73.99104524865,POINT (-73.99104524865 40.752853323146)
40.734757231006,-73.992837430303,POINT (-73.992837430303 40.734757231006)
40.768965667969,-73.965367273369,POINT (-73.965367273369 40.768965667969)
40.732466303424,-73.824817051532,POINT (-73.824817051532 40.732466303424)
40.584161653866,-73.820473327569,POINT (-73.820473327569 40.584161653866)
40.696809048152,-73.934953418702,POINT (-73.934953418702 40.696809048152)
40.727035771777,-73.98771139805,POINT (-73.98771139805 40.727035771777)
40.630576078226,-74.028162250774,POINT (-74.028162250774 40.630576078226)
40.641725907064,-74.006669703138,POINT (-74.006669703138 40.641725907064)
40.741898931157,-73.99044045904,POINT (-73.99044045904 40.741898931157)
40.723761894136,-74.002604795374,POINT (-74.002604795374 40.723761894136)
40.748289675024,-73.877554592501,POINT (-73.877554592501 40.748289675024)
40.760384295198,-73.961415475914,POINT (-73.961415475914 40.760384295198)
40.824231889563,-73.9520381415,POINT (-73.9520381415 40.824231889563)
40.655269499803,-73.917723551646,POINT (-73.917723551646 40.655269499803)
40.757106862931,-73.983493469108,POINT (-73.983493469108 40.757106862931)
40.745622454375,-73.883489004569,POINT (-73.883489004569 40.745622454375)
40.788323857268,-73.949120929902,POINT (-73.949120929902 40.788323857268)
40.777771312522,-73.97851641042,POINT (-73.97851641042 40.777771312522)
40.724844042572,-73.951395599575,POINT (-73.951395599575 40.724844042572)
40.712719586056,-73.994408917735,POINT (-73.994408917735 40.712719586056)
40.687411349774,-73.918422923462,POINT (-73.918422923462 40.687411349774)
40.736310984317,-74.001252125875,POINT (-74.001252125875 40.736310984317)
40.749569232284,-73.886030139357,POINT (-73.886030139357 40.749569232284)
40.665487277341,-73.756646891016,POINT (-73.756646891016 40.665487277341)
40.85769496438,-73.899780141175,POINT (-73.899780141175 40.85769496438)
40.778006529595,-73.778248615214,POINT (-73.778248615214 40.778006529595)
40.757840565564,-73.991228665336,POINT (-73.991228665336 40.757840565564)
40.718251116132,-73.958388058358,POINT (-73.958388058358 40.718251116132)
40.809907586248,-73.960606368894,POINT (-73.960606368894 40.809907586248)
40.749736123536,-73.977298371317,POINT (-73.977298371317 40.749736123536)
40.714422159658,-73.934802695855,POINT (-73.934802695855 40.714422159658)
40.712620990813,-73.944060399422,POINT (-73.944060399422 40.712620990813)
40.87645270534,-73.829950735851,POINT (-73.829950735851 40.87645270534)
40.755033261103,-73.96532040323,POINT (-73.96532040323 40.755033261103)
40.527973568564,-74.23518138466,POINT (-74.23518138466 40.527973568564)
40.887580354978,-73.907272067544,POINT (-73.907272067544 40.887580354978)
40.75918830286,-73.992062322346,POINT (-73.992062322346 40.75918830286)
40.649266509471,-73.872569305962,POINT (-73.872569305962 40.649266509471)
40.743051881572,-74.007545997501,POINT (-74.007545997501 40.743051881572)
40.624349055231,-73.96510398165,POINT (-73.96510398165 40.624349055231)
40.677518877485,-73.979226615188,POINT (-73.979226615188 40.677518877485)
40.675719689704,-73.890144116548,POINT (-73.890144116548 40.675719689704)
40.762481128386,-73.772127631575,POINT (-73.772127631575 40.762481128386)
40.750578524012,-73.976110653752,POINT (-73.976110653752 40.750578524012)
40.683215997358,-73.95610245414,POINT (-73.95610245414 40.683215997358)
40.741962273235,-73.993471790834,POINT (-73.993471790834 40.741962273235)
40.762767108374,-73.805203992346,POINT (-73.805203992346 40.762767108374)
40.720083428488,-73.989213425668,POINT (-73.989213425668 40.720083428488)
40.895507377518,-73.863483077625,POINT (-73.863483077625 40.895507377518)
40.744825215926,-73.997365506762,POINT (-73.997365506762 40.744825215926)
40.64768942504,-73.915343733585,POINT (-73.915343733585 40.64768942504)
40.663494369971,-73.768476920106,POINT (-73.768476920106 40.663494369971)
40.864533768203,-73.923367628751,POINT (-73.923367628751 40.864533768203)
40.667219525389,-73.956325698576,POINT (-73.956325698576 40.667219525389)
40.673478521919,-73.967273633865,POINT (-73.967273633865 40.673478521919)
40.852499318825,-73.828042163815,POINT (-73.828042163815 40.852499318825)
40.816283466916,-73.918556980017,POINT (-73.918556980017 40.816283466916)
40.665266846457,-73.922905365583,POINT (-73.922905365583 40.665266846457)
40.728147701904,-73.990933125684,POINT (-73.990933125684 40.728147701904)
40.749938303466,-73.899116376404,POINT (-73.899116376404 40.749938303466)
40.756992594766,-73.993654399478,POINT (-73.993654399478 40.756992594766)
40.70402083877,-74.012738784425,POINT (-74.012738784425 40.70402083877)
40.68151206128,-73.880078914179,POINT (-73.880078914179 40.68151206128)
40.676995282657,-73.908020256368,POINT (-73.908020256368 40.676995282657)
40.780511598308,-73.953983498093,POINT (-73.953983498093 40.780511598308)
40.732420955586,-73.987288239306,POINT (-73.987288239306 40.732420955586)
40.602752812382,-73.995217625328,POINT (-73.995217625328 40.602752812382)
40.758865217904,-73.830122145402,POINT (-73.830122145402 40.758865217904)
40.757348037798,-73.86822516095,POINT (-73.86822516095 40.757348037798)
40.680565085986,-73.882705360106,POINT (-73.882705360106 40.680565085986)
40.730140659856,-74.004795160255,POINT (-74.004795160255 40.730140659856)
40.726309507931,-73.865245319309,POINT (-73.865245319309 40.726309507931)
40.634375882885,-74.023627810702,POINT (-74.023627810702 40.634375882885)
40.677173894577,-74.015318579198,POINT (-74.015318579198 40.677173894577)
40.750175132704,-73.860548220152,POINT (-73.860548220152 40.750175132704)
40.832633846654,-73.828686348646,POINT (-73.828686348646 40.832633846654)
40.594446818183,-74.125676534427,POINT (-74.125676534427 40.594446818183)
40.660958607229,-73.993804139362,POINT (-73.993804139362 40.660958607229)
40.775090040816,-73.980495855488,POINT (-73.980495855488 40.775090040816)
40.713469192798,-73.944200365283,POINT (-73.944200365283 40.713469192798)
40.82545560831,-73.882734422029,POINT (-73.882734422029 40.82545560831)
40.666251321965,-73.882957719586,POINT (-73.882957719586 40.666251321965)
40.762895056714,-73.832346345915,POINT (-73.832346345915 40.762895056714)
40.742038588975,-73.987116786299,POINT (-73.987116786299 40.742038588975)
40.870071150714,-73.845464114231,POINT (-73.845464114231 40.870071150714)
40.684942506414,-73.994638411123,POINT (-73.994638411123 40.684942506414)
40.730008958719,-74.00347459004,POINT (-74.00347459004 40.730008958719)
40.656970748811,-73.9133027875,POINT (-73.9133027875 40.656970748811)
40.58636905342,-73.815660961236,POINT (-73.815660961236 40.58636905342)
