CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
289754137,7,MANHATTAN,07/08/2024,09:46:00,07/08/2024,09:48:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,(null),PATROL BORO MAN SOUTH,333.0,"LARCENY,PETIT FROM STORE-SHOPL",CLOTHING/BOUTIQUE,07/08/2024,(null),25-44,WHITE HISPANIC,M,,UNKNOWN,UNKNOWN,D,987714.0,202533.0,40.722583,-73.9875,"(40.722583, -73.9875)",POINT (-73.9875 40.722583)
288588359,75,BROOKLYN,06/15/2024,22:35:00,06/15/2024,22:40:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,578,VIOLATION,FRONT OF,HARRASSMENT 2,(null),PATROL BORO BKLYN NORTH,638.0,"HARASSMENT,SUBD 3,4,5",HOMELESS SHELTER,06/16/2024,(null),UNKNOWN,BLACK,F,,25-44,BLACK,F,1015693.0,180981.0,40.663374,-73.886664,"(40.663374, -73.886664)",POINT (-73.886664 40.663374)
285243845,110,QUEENS,04/12/2024,22:20:00,04/12/2024,22:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,(null),PATROL BORO QUEENS NORTH,101.0,ASSAULT 3,RESIDENCE - APT. HOUSE,04/12/2024,(null),<18,WHITE HISPANIC,F,,25-44,WHITE,F,1024278.0,207876.0,40.737159,-73.855559,"(40.737159, -73.855559)",POINT (-73.855559 40.737159)
286070987,48,BRONX,04/28/2024,01:00:00,04/28/2024,04:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,351,MISDEMEANOR,OPPOSITE OF,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO BRONX,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,04/28/2024,(null),UNKNOWN,UNKNOWN,U,,45-64,WHITE,M,1015340.0,249605.0,40.85173,-73.887619,"(40.85173, -73.887619)",POINT (-73.887619 40.85173)
281579992,43,BRONX,02/02/2024,16:00:00,02/02/2024,16:10:00,COMPLETED,(null),870.0,2,N.Y. HOUSING POLICE,578,VIOLATION,INSIDE,HARRASSMENT 2,(null),PATROL BORO BRONX,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE - PUBLIC HOUSING,02/02/2024,(null),UNKNOWN,BLACK HISPANIC,M,,<18,WHITE HISPANIC,M,1017214.0,240130.0,40.825718,-73.88089,"(40.825718, -73.88089)",POINT (-73.88089 40.825718)
284571751,105,QUEENS,03/28/2024,02:00:00,03/28/2024,02:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,(null),PATROL BORO QUEENS SOUTH,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,03/28/2024,(null),UNKNOWN,BLACK,U,,25-44,BLACK,F,1048826.0,179906.0,40.660242,-73.767246,"(40.660242, -73.767246)",POINT (-73.767246 40.660242)
291211317,110,QUEENS,08/05/2024,15:50:00,08/05/2024,16:15:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,(null),PATROL BORO QUEENS NORTH,333.0,"LARCENY,PETIT FROM STORE-SHOPL",DEPARTMENT STORE,08/05/2024,(null),<18,WHITE HISPANIC,M,,UNKNOWN,UNKNOWN,D,1019946.0,206619.0,40.733729,-73.871197,"(40.733729, -73.871197)",POINT (-73.871197 40.733729)
283182513,75,BROOKLYN,03/04/2024,16:20:00,03/04/2024,16:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,105,FELONY,OPPOSITE OF,ROBBERY,(null),PATROL BORO BKLYN NORTH,394.0,"ROBBERY,LICENSED FOR HIRE VEHICLE",STREET,03/04/2024,(null),18-24,BLACK,M,,25-44,ASIAN / PACIFIC ISLANDER,M,1023939.0,182309.0,40.666984,-73.856933,"(40.666984, -73.856933)",POINT (-73.856933 40.666984)
292118084,90,BROOKLYN,08/19/2024,22:00:00,08/19/2024,23:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,(null),PATROL BORO BKLYN NORTH,637.0,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,08/21/2024,(null),UNKNOWN,ASIAN / PACIFIC ISLANDER,F,,25-44,ASIAN / PACIFIC ISLANDER,F,994403.0,197450.0,40.708628,-73.963379,"(40.708628, -73.963379)",POINT (-73.963379 40.708628)
293962443,60,BROOKLYN,09/25/2024,12:30:00,09/25/2024,12:40:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,(null),PATROL BORO BKLYN SOUTH,638.0,"HARASSMENT,SUBD 3,4,5",HOTEL/MOTEL,09/25/2024,(null),UNKNOWN,BLACK HISPANIC,M,,25-44,BLACK,M,988997.0,152153.0,40.584301,-73.982908,"(40.584301, -73.982908)",POINT (-73.982908 40.584301)
288980616,105,QUEENS,06/18/2024,18:46:00,06/19/2024,11:39:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,(null),PATROL BORO QUEENS SOUTH,639.0,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,06/19/2024,(null),45-64,BLACK,M,,25-44,BLACK,F,1056333.0,185943.0,40.676754,-73.740126,"(40.676754, -73.740126)",POINT (-73.740126 40.676754)
284665165,14,MANHATTAN,04/02/2024,14:20:00,04/02/2024,14:23:00,COMPLETED,(null),,17,MTA POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,(null),PATROL BORO MAN SOUTH,661.0,"LEWDNESS,PUBLIC",TRANSIT FACILITY (OTHER),04/02/2024,(null),45-64,WHITE HISPANIC,M,,UNKNOWN,UNKNOWN,E,990513.0,213251.0,40.752001,-73.977392,"(40.752001, -73.977392)",POINT (-73.977392 40.752001)
281486570,63,BROOKLYN,02/01/2024,09:20:00,02/01/2024,09:24:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,106,FELONY,INSIDE,FELONY ASSAULT,(null),PATROL BORO BKLYN SOUTH,109.0,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE-HOUSE,02/01/2024,(null),<18,BLACK,F,,25-44,BLACK,F,1006131.0,171650.0,40.637791,-73.921157,"(40.637791, -73.921157)",POINT (-73.921157 40.637791)
282877508,43,BRONX,02/26/2024,20:00:00,02/26/2024,21:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,(null),PATROL BORO BRONX,321.0,"LARCENY,PETIT FROM AUTO",STREET,02/27/2024,(null),UNKNOWN,UNKNOWN,F,,25-44,WHITE HISPANIC,M,1023359.0,245104.0,40.839343,-73.858657,"(40.839343, -73.858657)",POINT (-73.858657 40.839343)
