stop_id,stop_name,stop_lat,stop_lon,GEOID,NAMELSAD,geometry
552369,GUY R BREWER BL /146 DR,40.66187,-73.768293,36081,Queens County,POINT (-73.768293 40.66187000000004)
101814,SOUNDVIEW AV/NEWMAN AV,40.808251,-73.85368000000001,36005,Bronx County,POINT (-73.85368000000001 40.80825100000005)
400330,5 AV/W 20 ST,40.739407,-73.99126,36061,New York County,POINT (-73.99126 40.739407000000035)
200627,CLOVE RD/VAN CORTLANDT AV,40.614859,-74.102188,36085,Richmond County,POINT (-74.102188 40.61485900000007)
803061,W 205 ST/PAUL AV,40.877071,-73.890065,36005,Bronx County,POINT (-73.890065 40.87707100000005)
305286,BOX ST/MANHATTAN AV,40.737197,-73.95575699999999,36047,Kings County,POINT (-73.95575699999999 40.73719700000006)
100607,RIVERDALE AV/W 263 ST,40.912363,-73.902699,36005,Bronx County,POINT (-73.902699 40.912363000000035)
301943,LINDEN BL/LOGAN ST,40.666298,-73.873142,36047,Kings County,POINT (-73.873142 40.66629800000003)
200374,RICHMOND AV/SYCAMORE ST,40.540196,-74.161186,36085,Richmond County,POINT (-74.161186 40.540196000000044)
306260,VAN SICLEN AV/FLATLANDS AV,40.654792,-73.882409,36047,Kings County,POINT (-73.882409 40.65479200000004)
550950,108 ST/CORONA AV,40.743521,-73.85513900000001,36081,Queens County,POINT (-73.85513900000001 40.74352100000004)
805040,SOUTH AV/1200 SOUTH AV,40.610502,-74.17727099999999,36085,Richmond County,POINT (-74.17727099999999 40.610502000000054)
103453,WESTCHESTER AV/HAVEMEYER AV,40.834998,-73.848855,36005,Bronx County,POINT (-73.848855 40.83499800000004)
305768,CONEY ISLAND AV/AV Z,40.586986,-73.96045699999999,36047,Kings County,POINT (-73.96045699999999 40.58698600000004)
103618,E MOSHOLU PY N/VAN CORTLANDT AV E,40.876084000000006,-73.881447,36005,Bronx County,POINT (-73.881447 40.87608400000005)
102603,PENNYFIELD AV/CHAFFEE AV,40.814838,-73.808276,36005,Bronx County,POINT (-73.808276 40.81483800000004)
303544,ST JOHNS PL/KINGSTON AV,40.671086,-73.94162299999999,36047,Kings County,POINT (-73.94162299999999 40.67108600000003)
903145,PARK ROW/BEEKMAN ST,40.711859,-74.006156,36061,New York County,POINT (-74.006156 40.71185900000005)
302059,BROADWAY/GREENE AV,40.691176,-73.925105,36047,Kings County,POINT (-73.925105 40.69117600000005)
303604,UTICA AV/CLARENDON RD,40.644815,-73.929523,36047,Kings County,POINT (-73.929523 40.64481500000004)
402851,LEXINGTON AV/E 28 ST,40.742375,-73.982721,36061,New York County,POINT (-73.982721 40.74237500000005)
305068,ROCKAWAY AV/DUMONT AV,40.6638,-73.909301,36047,Kings County,POINT (-73.909301 40.66380000000003)
551974,53 DR/62 ST,40.729766,-73.903235,36081,Queens County,POINT (-73.903235 40.72976600000004)
401220,HUDSON ST/PERRY ST,40.735435,-74.005921,36061,New York County,POINT (-74.005921 40.73543500000002)
303393,NEW YORK AV/CLARKSON AV,40.655908,-73.947114,36047,Kings County,POINT (-73.947114 40.65590800000006)
405455,12 AV/ W 27 ST,40.752215,-74.00757800000001,36061,New York County,POINT (-74.00757800000001 40.75221500000006)
503743,GRAND AV/64 ST,40.722723,-73.901821,36081,Queens County,POINT (-73.901821 40.72272300000003)
101161,MC OWEN AV/BOSTON RD,40.889269,-73.82032199999999,36005,Bronx County,POINT (-73.82032199999999 40.88926900000004)
982103,BULOVA CORPORATE CT/77 ST,40.763765,-73.893,36081,Queens County,POINT (-73.893 40.76376500000003)
551753,45 AV/149 ST,40.756075,-73.812813,36081,Queens County,POINT (-73.812813 40.75607500000004)
100636,E FORDHAM RD/BATHGATE AV,40.859601,-73.887654,36005,Bronx County,POINT (-73.887654 40.85960100000003)
552027,97 ST/62 DR,40.73234,-73.861676,36081,Queens County,POINT (-73.861676 40.73234000000003)
501476,HORACE HARDING EXP/248 ST,40.759638,-73.73530500000001,36081,Queens County,POINT (-73.73530500000001 40.75963800000004)
401666,WATER ST/WALL ST,40.705287,-74.007109,36061,New York County,POINT (-74.007109 40.70528700000004)
502992,GRAND AV/QUEENS BL,40.736494,-73.877838,36081,Queens County,POINT (-73.877838 40.73649400000004)
308176,92 ST/7 AV,40.614897,-74.023174,36047,Kings County,POINT (-74.023174 40.61489700000005)
504450,METROPOLITAN AV/70 AV,40.710924,-73.853471,36081,Queens County,POINT (-73.853471 40.71092400000005)
551993,JUNCTION BL/55 AV,40.738092,-73.866571,36081,Queens County,POINT (-73.866571 40.73809200000004)
100618,BROADWAY/W 238 ST,40.885241,-73.900666,36005,Bronx County,POINT (-73.90066600000002 40.885241000000036)
303800,CLASSON AV/PROSPECT PL,40.676035,-73.959586,36047,Kings County,POINT (-73.95958600000002 40.67603500000004)
550657,21 ST/43 AV,40.750575,-73.945655,36081,Queens County,POINT (-73.945655 40.75057500000005)
552452,SHERIDAN BL /CARVEL PL,40.612195,-73.753258,36059,Nassau County,POINT (-73.753258 40.61219500000005)
307856,GRAND ST/METROPOLITAN AV BR,40.714171,-73.931836,36047,Kings County,POINT (-73.931836 40.71417100000006)
