the_geom,SEGMENTID,COMPLEXID,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
POINT (-73.95334762359465 40.72232159891488),254353,0,,2.0,10112,3,3066698,3.0,05/14/2009 12:00:00 AM,04/07/2020 12:00:00 AM,2,DOE,,3086364,AUTOMOTIVE HIGH SCHOOL
POINT (-73.8332551142292 40.769649468731316),91110,0,,1.0,1035249,1,4100749,4.0,06/04/2020 12:00:00 AM,,8,OTHER,,112371,COMMUNITY SCHOOL DISTRICT 25
POINT (-73.89617462995267 40.72545526995306),174816,0,N,1.0,1031213,8,0,4.0,04/13/2018 12:00:00 AM,04/16/2018 12:00:00 AM,6,DCP,40058401.0,0,GRAND AVENUE OVER I-495 LIE
POINT (-73.85239982450246 40.84951643572059),86670,4659,X,1.0,1035209,8,0,2.0,05/16/2020 12:00:00 AM,07/15/2020 12:00:00 AM,4,OTHER,21278003.0,0,LORETO PLAYGROUND ROLLER HOCKEY RINK
POINT (-73.80689413692966 40.71266179231188),57136,0,,2.0,1026210,15,4208710,4.0,05/13/2015 12:00:00 AM,06/02/2015 12:00:00 AM,2,OTHER,,231819,NORTH SIDE SCHOOL JAMAICA
POINT (-73.94456255322777 40.668770338084634),29838,0,,1.0,1031876,1,3033019,3.0,05/10/2018 12:00:00 AM,,9,OTHER,,3040525,ST MARKS CHURCH EPISCOPAL
POINT (-73.90321590499904 40.86708367539875),289472,0,,2.0,15133,3,2014843,2.0,05/14/2009 12:00:00 AM,05/22/2019 12:00:00 AM,5,FDNY,,2026301,KITTAY SENIOR APARTMENTS
POINT (-73.92722306095357 40.78536264963814),245603,445,X,1.0,1007480,4,1088075,1.0,08/17/2011 12:00:00 AM,01/28/2021 12:00:00 AM,10,OTHER,12574013.0,9112988,NYS OMH POWER PLANT
POINT (-73.98301315065981 40.59842637820888),19219,0,N,1.0,1025751,17,3189815,3.0,01/15/2015 12:00:00 AM,03/13/2024 12:00:00 AM,2,OTHER,30132901.0,3240978,GESHER YEHUDA SCHOOL
POINT (-73.89813433002178 40.86248497630776),111981,0,N,1.0,16199,5,0,2.0,05/14/2009 12:00:00 AM,08/12/2020 12:00:00 AM,13,DPR,21219001.0,0,MULLER TRIANGLE
