listing_id,borough_Queens,borough_Manhattan,borough_Brooklyn,borough_Bronx,distance_to_nearest_crime_m,number_of_crimes_within_100m,average_offence_weight_within_100m,distance_to_nearest_bus_stop_m,number_of_bus_stops_within_100m,distance_to_nearest_subway_station_m,number_of_subway_stations_within_100m,distance_to_nearest_restaurant_m,number_of_restaurants_within_100m,distance_to_nearest_education_institution_m,number_of_education_institutions_within_100m,distance_to_nearest_cultural_institution_m,number_of_cultural_institutions_within_100m,distance_to_nearest_recreation_point_m,number_of_recreation_points_within_100m,distance_to_nearest_religious_institution_m,number_of_religious_institutions_within_100m,distance_to_nearest_health_institution_m,number_of_health_institutions_within_100m,distance_to_nearest_main_attraction_m
38954037,False,True,False,False,31.12763838628113,25,416.04,170.8132685080864,0,346.0089611924449,0,112.12550784385844,0,60.82865379914736,1,412.8274330795592,0,152.28439223575955,0,304.0071421544939,0,262.0644318113091,0,7070.137138246908
1038865058562271038,False,True,False,False,28.60921427801334,86,102.86046511627907,37.62382910533313,2,27.567655033438875,1,27.973759740674108,12,169.12244507894636,0,112.1936524519426,0,184.520915045414,0,215.73356523794385,0,530.7810572783742,0,485.7461652976432
26954041,False,True,False,False,65.58200743766271,168,101.0654761904762,75.9381592996181,1,200.4887987678836,0,29.08065839683569,26,43.01201338089156,1,64.2812796873376,1,442.8821594893881,0,121.87861017413292,0,1020.8312330448892,0,209.9329398451268
867385242229456287,False,False,False,False,62.49627289428014,6,139.16666666666666,56.75773175650813,2,2888.2245185681786,0,538.7570016952277,0,608.7846082117023,0,1857.6030535415423,0,637.5328785376593,0,555.1508280330272,0,709.1731726258754,0,12504.989393575344
42315953,False,False,False,True,60.22241556904343,37,117.83783783783784,223.75042423804663,0,259.3694679366727,0,184.54162170448205,0,130.44808352997973,0,1058.6742496255556,0,168.99493643659986,0,164.26765229074286,0,551.2132040300197,0,14038.3458133968
27373231,True,False,False,False,51.89227321622983,7,99.14285714285714,16.762334199998033,1,150.3147820053183,0,331.9258791762168,0,274.9507481985282,0,1287.1970267301942,0,277.498253672761,0,111.96275915983551,0,1372.1262157743752,0,24179.35804057696
650322620657019697,True,False,False,False,66.89870224691924,12,90.08333333333331,213.3376358217872,0,403.7376145063921,0,139.10197556837,0,66.363636852074,1,142.292792280608,0,337.3735497856073,0,322.4491199141275,0,1713.318410149914,0,4654.021663766211
22751906,False,False,True,False,42.65944280994608,36,74.91666666666667,80.27003157292464,3,287.2888704698656,0,160.33307483313376,0,94.81591456495204,1,328.0891057392135,0,105.44616354374055,0,118.13299021588055,0,323.78932452046337,0,7517.135934973548
53625595,False,False,True,False,34.01507560636124,23,91.04347826086956,136.4837702309318,0,732.9625465201722,0,146.71602375616294,0,95.51480745328804,1,88.19597082118679,1,114.30035147080224,0,379.6988656992425,0,741.5920287989419,0,4262.616226976536
1097256644828440827,False,False,True,False,21.872331124286656,47,183.89361702127655,33.54786331288217,3,190.29634659027687,0,79.60541404709545,1,238.71959649420307,0,744.2936496913857,0,106.77845274869382,0,349.4929164874317,0,370.02869060975854,0,5462.827235024848
1142087725147585570,False,True,False,False,59.6047494181618,42,109.1904761904762,78.34972196857535,1,164.44796525377578,0,21.51340976771105,9,62.19772405848583,3,189.0284471063546,0,137.31156288293923,0,87.56371109749443,1,572.4189907850271,0,1953.2353238538244
1000190119235265402,True,False,False,False,45.86562967992108,17,104.3529411764706,229.0174754692209,0,272.4503638944642,0,85.05776383742393,1,347.1685720910028,0,738.3079531399082,0,363.4477011559137,0,160.0352725057648,0,964.8713771015688,0,6263.889748367817
674132554446836653,False,True,False,False,10.563284034442692,75,124.29333333333334,165.03172992089978,0,100.21209646899274,0,35.53997280725365,11,263.7316366917322,0,221.35775912445663,0,156.09891035844362,0,194.84883959199388,0,864.1934798600815,0,1227.4950130869893
38390610,True,False,False,False,10.5450487787528,126,206.93650793650792,297.3493570779199,0,163.77366523991813,0,32.0663099642031,13,258.6930365968277,0,584.3397866367416,0,629.8671697219187,0,570.9315816896601,0,707.5896428747484,0,7902.591125188862
50017683,True,False,False,False,79.05110813779112,3,30.33333333333333,203.24789998270563,0,1297.5733113826093,0,775.420474832418,0,162.7606829059371,0,1112.1764374472475,0,189.48768419043333,0,180.1184676397722,0,759.8839866552462,0,26047.457087546867
32252006,True,False,False,False,52.4605310424281,19,52.1578947368421,136.1857053840003,0,1128.923927345605,0,277.20159651437666,0,215.4611117292625,0,426.108363142457,0,88.22824285369629,1,191.48385393261432,0,2235.6836350445355,0,5439.23680959445
