listing_id,listing_url,last_scraped,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,borough,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,geometry
645886640432143048,https://www.airbnb.com/rooms/645886640432143048,2024-07-06,307197943,2019-11-05,within an hour,97%,95%,t,25.0,29.0,['phone'],t,f,Manhattan,Entire condo,Entire home/apt,4,2.0,2 baths,2.0,2.0,"[""Free dryer \u2013 In unit"", ""Heating"", ""Bed linens"", ""Oven"", ""Paid parking garage off premises"", ""Cleaning products"", ""Dedicated workspace"", ""Microwave"", ""Paid parking garage on premises"", ""Conditioner"", ""Dishes and silverware"", ""Shampoo"", ""Body soap"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Crib"", ""Fire extinguisher"", ""Freezer"", ""Coffee"", ""Toaster"", ""Bathtub"", ""HDTV with Netflix"", ""Iron"", ""Essentials"", ""Elevator"", ""Clothing storage: closet"", ""Shower gel"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Wifi"", ""Refrigerator"", ""City skyline view"", ""Cooking basics"", ""Hot water"", ""Wine glasses"", ""Coffee maker: Keurig coffee machine"", ""Drying rack for clothing"", ""Baking sheet"", ""Sound system"", ""Portable air conditioning"", ""Exterior security cameras on property"", ""Hangers"", ""Dining table"", ""Hot water kettle"", ""Gas stove"", ""Dishwasher"", ""Long term stays allowed""]","$1,428.00",30,365,30.0,30.0,365.0,365.0,30.0,365.0,30,60,90,364,33,1,0,2022-07-18,2023-12-07,4.97,4.94,4.91,4.97,5.0,5.0,4.94,f,16,16,0,0,1.38,POINT (-73.99534 40.75808)
842691777475545064,https://www.airbnb.com/rooms/842691777475545064,2024-09-04,367627546,2020-09-15,a few days or more,0%,,f,1.0,1.0,"['email', 'phone']",f,f,Brooklyn,Private room in rental unit,Private room,4,2.0,2 baths,2.0,3.0,"[""Cleaning products"", ""Dining table"", ""55 inch HDTV"", ""Bluetooth sound system"", ""Stainless steel single oven"", ""Keypad"", ""Smoke alarm"", ""Window AC unit"", ""Free washer \u2013 In unit"", ""Cooking basics"", ""Barbecue utensils"", ""AC - split type ductless system"", ""Private patio or balcony"", ""Coffee maker: Keurig coffee machine"", ""Shower gel"", ""Coffee"", ""Outdoor furniture"", ""Stainless steel gas stove"", ""Hot water kettle"", ""Free dryer \u2013 In unit"", ""Refrigerator"", ""Ceiling fan"", ""Conditioner"", ""Books and reading material"", ""Clothing storage: dresser"", ""BBQ grill"", ""Kitchen"", ""Hair dryer"", ""Hot water"", ""Body soap"", ""Free street parking"", ""Iron"", ""Arcade games"", ""Fire extinguisher"", ""Wine glasses"", ""Microwave"", ""Essentials"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Bed linens"", ""Freezer"", ""Toaster"", ""Hangers"", ""Shampoo"", ""Radiant heating"", ""Indoor fireplace"", ""Dishes and silverware"", ""Dedicated workspace"", ""Bathtub"", ""Baking sheet"", ""Extra pillows and blankets"", ""Self check-in"", ""First aid kit"", ""Board games"", ""Luggage dropoff allowed"", ""Blender"", ""Heating - split type ductless system"", ""Wifi""]",$240.00,31,31,31.0,31.0,31.0,31.0,31.0,31.0,30,60,90,270,0,0,0,,,,,,,,,,t,1,0,1,0,,POINT (-74.01152796889583 40.67462358236079)
1110578563834555617,https://www.airbnb.com/rooms/1110578563834555617,2024-09-05,565579563,2024-03-05,within an hour,100%,100%,f,10.0,10.0,"['email', 'phone']",t,t,Manhattan,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Elevator"", ""Smoke alarm"", ""Paid parking off premises"", ""Heating"", ""TV with standard cable"", ""Hair dryer"", ""Body soap"", ""Iron"", ""Private entrance"", ""Fire extinguisher"", ""Essentials"", ""Gym"", ""Host greets you"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Bed linens"", ""Hangers"", ""Shampoo"", ""Dedicated workspace"", ""Coffee maker"", ""Air conditioning"", ""Wifi""]",$350.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,19,49,79,159,30,30,7,2024-05-08,2024-08-31,4.6,4.6,4.47,4.5,4.63,4.83,4.5,t,10,10,0,0,7.44,POINT (-73.98603528996 40.75765758563109)
49777208,https://www.airbnb.com/rooms/49777208,2024-09-04,78643953,2016-06-19,within an hour,100%,100%,t,5.0,8.0,"['email', 'phone']",t,t,Queens,Entire rental unit,Entire home/apt,4,1.0,1 bath,3.0,3.0,"[""Cleaning products"", ""Dining table"", ""Smoke alarm"", ""Window AC unit"", ""55 inch HDTV with Roku"", ""Cooking basics"", ""Heating"", ""Exterior security cameras on property"", ""Coffee"", ""Shower gel"", ""Hot water kettle"", ""Refrigerator"", ""Ceiling fan"", ""Conditioner"", ""Kitchen"", ""Hair dryer"", ""Hot water"", ""Free street parking"", ""Iron"", ""Private entrance"", ""Wine glasses"", ""Microwave"", ""Essentials"", ""Gas stove"", ""Carbon monoxide alarm"", ""Bed linens"", ""Toaster"", ""Hangers"", ""Shampoo"", ""Dishes and silverware"", ""Oven"", ""Bathtub"", ""Lockbox"", ""Wifi"", ""Self check-in"", ""Blender"", ""Beach access \u2013 Beachfront"", ""Coffee maker"", ""Portable air conditioning""]",$165.00,30,60,30.0,30.0,1125.0,1125.0,30.0,1125.0,4,4,17,292,46,7,0,2021-06-02,2024-06-23,4.78,4.83,4.74,4.93,4.96,4.13,4.57,f,4,4,0,0,1.16,POINT (-73.76355 40.59529)
45783672,https://www.airbnb.com/rooms/45783672,2024-09-04,14296610,2014-04-14,within an hour,100%,100%,t,1.0,3.0,"['email', 'phone']",t,t,Brooklyn,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Dishwasher"", ""Cleaning products"", ""Single level home"", ""TV"", ""Stove"", ""Smoke alarm"", ""Window AC unit"", ""Cooking basics"", ""Heating"", ""Private patio or balcony"", ""Refrigerator"", ""Long term stays allowed"", ""Kitchen"", ""Hair dryer"", ""Hot water"", ""Free street parking"", ""Private entrance"", ""Fire extinguisher"", ""Laundromat nearby"", ""Microwave"", ""Essentials"", ""Carbon monoxide alarm"", ""Bed linens"", ""Freezer"", ""Hangers"", ""Shampoo"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Lockbox"", ""Extra pillows and blankets"", ""Self check-in"", ""First aid kit"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Wifi"", ""Free parking on premises""]",$93.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,26,56,236,16,4,0,2020-11-08,2024-07-31,5.0,5.0,4.88,4.88,4.81,4.56,4.75,f,1,1,0,0,0.34,POINT (-73.93722 40.65586)
861625396155486382,https://www.airbnb.com/rooms/861625396155486382,2024-09-05,32368779,2015-05-01,a few days or more,0%,31%,f,14.0,20.0,['phone'],t,t,Brooklyn,Private room in condo,Private room,4,1.0,1 bath,1.0,2.0,"[""Cleaning products"", ""Clothing storage: closet"", ""TV"", ""Smoke alarm"", ""Cooking basics"", ""Shower gel"", ""Conditioner"", ""Safe"", ""Kitchen"", ""Hot water"", ""Room-darkening shades"", ""Body soap"", ""Fire extinguisher"", ""Essentials"", ""Central heating"", ""Carbon monoxide alarm"", ""Bed linens"", ""Hangers"", ""Shampoo"", ""Dishes and silverware"", ""Dedicated workspace"", ""Bathtub"", ""Extra pillows and blankets"", ""First aid kit"", ""Air conditioning"", ""Wifi""]",$214.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,30,60,90,365,3,0,0,2023-05-20,2023-09-02,5.0,4.67,4.33,4.67,4.33,4.67,4.67,f,13,5,8,0,0.19,POINT (-73.9202905206641 40.68022550215076)
837209019816144209,https://www.airbnb.com/rooms/837209019816144209,2023-11-02,70176549,2016-05-03,within a few hours,100%,100%,t,3.0,9.0,"['email', 'phone']",t,t,Manhattan,Private room in rental unit,Private room,1,,1 shared bath,,1.0,"[""Cooking basics"", ""Kitchen"", ""Dishes and silverware"", ""Blender"", ""Shampoo"", ""Dedicated workspace"", ""Coffee maker"", ""Hair dryer"", ""Stove"", ""Body soap"", ""Window AC unit"", ""Bed linens"", ""Dining table"", ""TV"", ""Hot water kettle"", ""Heating"", ""Wifi"", ""Long term stays allowed"", ""Host greets you"", ""Essentials"", ""Hangers"", ""Toaster"", ""Lock on bedroom door"", ""Refrigerator"", ""Iron"", ""Microwave"", ""Hot water""]",$75.00,30,200,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,24,54,112,1,1,0,2023-08-20,2023-08-20,5.0,5.0,5.0,5.0,5.0,5.0,4.0,f,3,0,3,0,0.4,POINT (-73.99180426617242 40.760710887386175)
1010695853870779745,https://www.airbnb.com/rooms/1010695853870779745,2024-09-04,533234561,2023-08-22,within a few hours,82%,79%,f,85.0,133.0,"['email', 'phone']",t,t,Manhattan,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Kitchen"", ""Hot water"", ""Dedicated workspace"", ""Cooking basics"", ""Dishes and silverware"", ""Oven"", ""Free street parking"", ""Lockbox"", ""Heating"", ""Self check-in"", ""Microwave"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Wifi""]",$135.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,0,266,0,0,0,,,,,,,,,,f,65,62,3,0,,POINT (-73.97898160856056 40.72601682612927)
1208036120501815502,https://www.airbnb.com/rooms/1208036120501815502,2024-09-04,339284067,2020-02-27,within a day,100%,,f,1.0,2.0,"['email', 'phone']",t,f,Manhattan,Private room in home,Private room,1,2.0,2 baths,1.0,1.0,"[""Kitchen"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Smoke alarm"", ""Washer"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Air conditioning"", ""Lock on bedroom door"", ""Wifi""]",$88.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,29,59,89,89,0,0,0,,,,,,,,,,f,1,0,1,0,,POINT (-73.941975 40.836668)
783420775267244079,https://www.airbnb.com/rooms/783420775267244079,2024-09-05,181517263,2018-03-30,within an hour,100%,100%,t,1.0,1.0,"['email', 'phone']",t,f,Queens,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Dishwasher"", ""Cleaning products"", ""Clothing storage: closet"", ""Crib"", ""Dining table"", ""Keypad"", ""Smoke alarm"", ""Central air conditioning"", ""Cooking basics"", ""Private patio or balcony"", ""Exterior security cameras on property"", ""Shower gel"", ""Stainless steel electric stove"", ""Refrigerator"", ""Long term stays allowed"", ""Books and reading material"", ""Dove  body soap"", ""Kitchen"", ""Hair dryer"", ""Hot water"", ""Room-darkening shades"", ""Free street parking"", ""Iron"", ""Private entrance"", ""Wine glasses"", ""Microwave"", ""Essentials"", ""Central heating"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Bed linens"", ""Freezer"", ""Hangers"", ""Shampoo"", ""Dishes and silverware"", ""Dedicated workspace"", ""Stainless steel oven"", ""Extra pillows and blankets"", ""Self check-in"", ""Panteen conditioner"", ""First aid kit"", ""Luggage dropoff allowed"", ""HDTV with Roku"", ""Coffee maker"", ""Wifi""]",$182.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,269,75,16,0,2022-12-25,2024-05-09,4.81,4.89,4.79,4.84,4.93,4.64,4.72,t,1,1,0,0,3.62,POINT (-73.91215015455053 40.70333277567696)
